Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Borough,Sub_Industry,Adjacency,Language,Industry_Stakeholder,Cuisine,Beverage_Type,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query,NYC_Canonical,Added_In_Version
212,Sugar Sweeteners,us_sugar_program,Haley,Stephen L.,The U.S. Sugar Program and Its Effects,2016,USDA ERS,REPORT,sugar,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Haley+The+U.S.+Sugar+Program+and+Its+Effects,https://archive.org/search?query=Haley+The+U.S.+Sugar+Program+and+Its+Effects,,Haley The U.S. Sugar Program and Its Effects,False,v2
213,Sugar Sweeteners,global_sugar,Rutherford,Ardian,The World Sugar Market,2010,Blackwell,BOOK,sugar,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Rutherford+The+World+Sugar+Market,https://archive.org/search?query=Rutherford+The+World+Sugar+Market,,Rutherford The World Sugar Market,False,v2
214,Sugar Sweeteners,global_sugar,Yadav,A. K.,Sugar Markets and Sugar Price Dynamics,2019,Review of Ag Econ,ARTICLE,sugar,2010_2020,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Yadav+Sugar+Markets+and+Sugar+Price+Dynamics,https://archive.org/search?query=Yadav+Sugar+Markets+and+Sugar+Price+Dynamics,,Yadav Sugar Markets and Sugar Price Dynamics,False,v2
215,Sugar Sweeteners,global_sugar,LMC International,,LMC Sweeteners Analysis,2024,LMC,REPORT,sugar,2010_2020,Global,none,none,none,en,academic,none,none,LOW,NEEDED,Trade-press benchmark,https://annas-archive.org/search?q=LMC+International+LMC+Sweeteners+Analysis,https://archive.org/search?query=LMC+International+LMC+Sweeteners+Analysis,,LMC International LMC Sweeteners Analysis,False,v2
216,Sugar Sweeteners,cane_beet,Otter,Chris,Diet for a Large Planet,2020,U Chicago Press,BOOK,sugar,spanning,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Otter+Diet+for+a+Large+Planet,https://archive.org/search?query=Otter+Diet+for+a+Large+Planet,,Otter Diet for a Large Planet,False,v2
217,Sugar Sweeteners,us_sugar_program,USDA,,Sugar and Sweeteners Outlook,2024,USDA ERS,REPORT,sugar,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Monthly,https://annas-archive.org/search?q=USDA+Sugar+and+Sweeteners+Outlook,https://archive.org/search?query=USDA+Sugar+and+Sweeteners+Outlook,https://www.ers.usda.gov/publications/periodicals/,USDA Sugar and Sweeteners Outlook,False,v2
218,Sugar Sweeteners,hfcs,Philpott,Tom,Perilous Bounty: The Looming Collapse of American Farming,2020,Bloomsbury,BOOK,multi,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Philpott+Perilous+Bounty%3A+The+Looming+Collapse+of+American+Farming,https://archive.org/search?query=Philpott+Perilous+Bounty%3A+The+Looming+Collapse+of+American+Farming,,Philpott Perilous Bounty: The Looming Collapse of American Farming,False,v2
219,Sugar Sweeteners,global_sugar,ISO,,World Sugar Statistical Yearbook,2024,International Sugar Organization,DATASET_DOC,sugar,spanning,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=ISO+World+Sugar+Statistical+Yearbook,https://archive.org/search?query=ISO+World+Sugar+Statistical+Yearbook,https://www.isosugar.org/,ISO World Sugar Statistical Yearbook,False,v2
220,Sugar Sweeteners,cane_beet,Aurand,Joseph,A Brief History of the US Sugar Industry,2019,USDA,REPORT,sugar,spanning,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Aurand+A+Brief+History+of+the+US+Sugar+Industry,https://archive.org/search?query=Aurand+A+Brief+History+of+the+US+Sugar+Industry,,Aurand A Brief History of the US Sugar Industry,False,v2
221,Produce,seasonality,Richards,Timothy J.,Retail Competition and the Price of Fruit,2006,J Ag Resource Econ,ARTICLE,produce,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Richards+Retail+Competition+and+the+Price+of+Fruit,https://archive.org/search?query=Richards+Retail+Competition+and+the+Price+of+Fruit,,Richards Retail Competition and the Price of Fruit,False,v2
222,Produce,seasonality,Lucier,Gary,Vegetables and Pulses Yearbook,2024,USDA ERS,DATASET_DOC,produce,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,Annual,https://annas-archive.org/search?q=Lucier+Vegetables+and+Pulses+Yearbook,https://archive.org/search?query=Lucier+Vegetables+and+Pulses+Yearbook,https://www.ers.usda.gov/data-products/vegetables-and-pulses-data,Lucier Vegetables and Pulses Yearbook,False,v2
223,Produce,labor_costs,Martin,Philip,Labor Shortages Ahead: Agriculture and H-2A Visa Program,2016,UC Davis,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,FLAGSHIP,NEEDED,,https://annas-archive.org/search?q=Martin+Labor+Shortages+Ahead%3A+Agriculture+and+H-2A+Visa+Program,https://archive.org/search?query=Martin+Labor+Shortages+Ahead%3A+Agriculture+and+H-2A+Visa+Program,,Martin Labor Shortages Ahead: Agriculture and H-2A Visa Program,False,v2
224,Produce,labor_costs,Charlton,Diane,Declining International Migration of Mexican Farm Workers,2016,J Political Economy,ARTICLE,produce,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,With Taylor,https://annas-archive.org/search?q=Charlton+Declining+International+Migration+of+Mexican+Farm+Workers,https://archive.org/search?query=Charlton+Declining+International+Migration+of+Mexican+Farm+Workers,,Charlton Declining International Migration of Mexican Farm Workers,False,v2
225,Produce,cold_chain,Sheffi,Yossi,Logistics Clusters,2012,MIT Press,BOOK,produce,2010_2020,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Sheffi+Logistics+Clusters,https://archive.org/search?query=Sheffi+Logistics+Clusters,,Sheffi Logistics Clusters,False,v2
226,Produce,cold_chain,Saenz-Segura,Fernando,Cold Chain Management for Produce in Developing Countries,2013,WUR,WORKING_PAPER,produce,2010_2020,Global,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Saenz-Segura+Cold+Chain+Management+for+Produce+in+Developing+Countries,https://archive.org/search?query=Saenz-Segura+Cold+Chain+Management+for+Produce+in+Developing+Countries,,Saenz-Segura Cold Chain Management for Produce in Developing Countries,False,v2
227,Produce,specialty_crops,USDA,,Fruit and Tree Nuts Yearbook Tables,2024,USDA ERS,DATASET_DOC,produce,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Fruit+and+Tree+Nuts+Yearbook+Tables,https://archive.org/search?query=USDA+Fruit+and+Tree+Nuts+Yearbook+Tables,https://www.ers.usda.gov/data-products/fruit-and-tree-nuts-data,USDA Fruit and Tree Nuts Yearbook Tables,False,v2
228,Produce,specialty_crops,Cook,Roberta,Supermarket Challenges and Opportunities for Fresh Fruit and Vegetable Producers,2011,Choices Magazine,ARTICLE,produce,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cook+Supermarket+Challenges+and+Opportunities+for+Fresh+Fruit+and+Vegetable+Producers,https://archive.org/search?query=Cook+Supermarket+Challenges+and+Opportunities+for+Fresh+Fruit+and+Vegetable+Producers,,Cook Supermarket Challenges and Opportunities for Fresh Fruit and Vegetable Producers,False,v2
229,Produce,water_ag,Cooley,Heather,California Agricultural Water Use: Key Background Information,2015,Pacific Institute,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Cooley+California+Agricultural+Water+Use%3A+Key+Background+Information,https://archive.org/search?query=Cooley+California+Agricultural+Water+Use%3A+Key+Background+Information,,Cooley California Agricultural Water Use: Key Background Information,False,v2
230,Produce,water_ag,Howitt,Richard,Economic Analysis of the 2014 Drought for California Agriculture,2014,UC Davis,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Howitt+Economic+Analysis+of+the+2014+Drought+for+California+Agriculture,https://archive.org/search?query=Howitt+Economic+Analysis+of+the+2014+Drought+for+California+Agriculture,,Howitt Economic Analysis of the 2014 Drought for California Agriculture,False,v2
231,Produce,seasonality,Park,Timothy A.,Choice Behavior for US Fresh Vegetable Consumers,2011,J Ag Applied Econ,ARTICLE,produce,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Park+Choice+Behavior+for+US+Fresh+Vegetable+Consumers,https://archive.org/search?query=Park+Choice+Behavior+for+US+Fresh+Vegetable+Consumers,,Park Choice Behavior for US Fresh Vegetable Consumers,False,v2
232,Produce,labor_costs,Zahniser,Steven,Farm Labor and Immigration Policy,2018,USDA ERS,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Zahniser+Farm+Labor+and+Immigration+Policy,https://archive.org/search?query=Zahniser+Farm+Labor+and+Immigration+Policy,,Zahniser Farm Labor and Immigration Policy,False,v2
233,Produce,specialty_crops,Cook,Roberta,Trends in the Marketing of Fresh Produce and Fresh-Cut Products,2011,UC Davis,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cook+Trends+in+the+Marketing+of+Fresh+Produce+and+Fresh-Cut+Products,https://archive.org/search?query=Cook+Trends+in+the+Marketing+of+Fresh+Produce+and+Fresh-Cut+Products,,Cook Trends in the Marketing of Fresh Produce and Fresh-Cut Products,False,v2
234,Produce,cold_chain,Mercier,Stephanie,Grocery Retailing and Wholesaling,2019,Farm Foundation,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Mercier+Grocery+Retailing+and+Wholesaling,https://archive.org/search?query=Mercier+Grocery+Retailing+and+Wholesaling,,Mercier Grocery Retailing and Wholesaling,False,v2
235,Produce,water_ag,Lund,Jay,Water Markets in California,2014,UC Davis,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Lund+Water+Markets+in+California,https://archive.org/search?query=Lund+Water+Markets+in+California,,Lund Water Markets in California,False,v2
236,Produce,seasonality,Gopinath,Munisamy,Price Transmission in Fresh Fruit and Vegetable Markets,2012,J Ag Applied Econ,ARTICLE,produce,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Gopinath+Price+Transmission+in+Fresh+Fruit+and+Vegetable+Markets,https://archive.org/search?query=Gopinath+Price+Transmission+in+Fresh+Fruit+and+Vegetable+Markets,,Gopinath Price Transmission in Fresh Fruit and Vegetable Markets,False,v2
237,Produce,specialty_crops,Calvin,Linda,Fresh Fruit and Vegetable Imports and the U.S. Market,2009,USDA ERS,REPORT,produce,1980_2010,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Calvin+Fresh+Fruit+and+Vegetable+Imports+and+the+U.S.+Market,https://archive.org/search?query=Calvin+Fresh+Fruit+and+Vegetable+Imports+and+the+U.S.+Market,,Calvin Fresh Fruit and Vegetable Imports and the U.S. Market,False,v2
238,Produce,labor_costs,Fan,Maoyong,The Role of H-2A in US Agriculture,2015,AJAE,ARTICLE,produce,2010_2020,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Fan+The+Role+of+H-2A+in+US+Agriculture,https://archive.org/search?query=Fan+The+Role+of+H-2A+in+US+Agriculture,,Fan The Role of H-2A in US Agriculture,False,v2
239,Produce,water_ag,Schwabe,Kurt,The Role of Water in the California Economy,2015,UC ANR,REPORT,produce,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Schwabe+The+Role+of+Water+in+the+California+Economy,https://archive.org/search?query=Schwabe+The+Role+of+Water+in+the+California+Economy,,Schwabe The Role of Water in the California Economy,False,v2
240,Produce,seasonality,Pollack,Susan,ERS Fruit and Vegetable Prices Data Product,2024,USDA ERS,DATASET_DOC,produce,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Pollack+ERS+Fruit+and+Vegetable+Prices+Data+Product,https://archive.org/search?query=Pollack+ERS+Fruit+and+Vegetable+Prices+Data+Product,https://www.ers.usda.gov/data-products/fruit-and-vegetable-prices/,Pollack ERS Fruit and Vegetable Prices Data Product,False,v2
241,Global Food Systems,green_revolution,Evenson,Robert E.,"Assessing the Impact of the Green Revolution, 1960 to 2000",2003,Science,ARTICLE,multi,1945_1980,Global,none,none,none,en,academic,none,none,FLAGSHIP,NEEDED,With Gollin,https://annas-archive.org/search?q=Evenson+Assessing+the+Impact+of+the+Green+Revolution%2C+1960+to+2000,https://archive.org/search?query=Evenson+Assessing+the+Impact+of+the+Green+Revolution%2C+1960+to+2000,https://doi.org/10.1126/science.1078710,"Evenson Assessing the Impact of the Green Revolution, 1960 to 2000",False,v2
242,Global Food Systems,green_revolution,Hazell,Peter B. R.,The Asian Green Revolution,2009,IFPRI DP 911,WORKING_PAPER,multi,1945_1980,Asia,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Hazell+The+Asian+Green+Revolution,https://archive.org/search?query=Hazell+The+Asian+Green+Revolution,,Hazell The Asian Green Revolution,False,v2
243,Global Food Systems,green_revolution,Pingali,Prabhu L.,"Green Revolution: Impacts, Limits, and the Path Ahead",2012,PNAS,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Pingali+Green+Revolution%3A+Impacts%2C+Limits%2C+and+the+Path+Ahead,https://archive.org/search?query=Pingali+Green+Revolution%3A+Impacts%2C+Limits%2C+and+the+Path+Ahead,https://doi.org/10.1073/pnas.0912953109,"Pingali Green Revolution: Impacts, Limits, and the Path Ahead",False,v2
244,Global Food Systems,green_revolution,Perkins,John H.,Geopolitics and the Green Revolution,1997,Oxford UP,BOOK,multi,1945_1980,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Perkins+Geopolitics+and+the+Green+Revolution,https://archive.org/search?query=Perkins+Geopolitics+and+the+Green+Revolution,,Perkins Geopolitics and the Green Revolution,False,v2
245,Global Food Systems,green_revolution,Cullather,Nick,The Hungry World: America's Cold War Battle Against Poverty in Asia,2010,Harvard UP,BOOK,multi,1945_1980,Asia,none,none,none,en,academic,none,none,HIGH,NEEDED,Green Revolution as Cold War project,https://annas-archive.org/search?q=Cullather+The+Hungry+World%3A+America%27s+Cold+War+Battle+Against+Poverty+in+Asia,https://archive.org/search?query=Cullather+The+Hungry+World%3A+America%27s+Cold+War+Battle+Against+Poverty+in+Asia,,Cullather The Hungry World: America's Cold War Battle Against Poverty in Asia,False,v2
246,Global Food Systems,fao_fpi_methods,FAO,,The FAO Food Price Index (FFPI) Methodology Paper,2013,FAO,DATASET_DOC,multi,spanning,Global,none,none,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=FAO+The+FAO+Food+Price+Index+%28FFPI%29+Methodology+Paper,https://archive.org/search?query=FAO+The+FAO+Food+Price+Index+%28FFPI%29+Methodology+Paper,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,FAO The FAO Food Price Index (FFPI) Methodology Paper,False,v2
247,Global Food Systems,fao_fpi_methods,FAO,,The State of Food and Agriculture (SOFA) — annual,2024,FAO,REPORT,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,Flagship,https://annas-archive.org/search?q=FAO+The+State+of+Food+and+Agriculture+%28SOFA%29+%E2%80%94+annual,https://archive.org/search?query=FAO+The+State+of+Food+and+Agriculture+%28SOFA%29+%E2%80%94+annual,https://www.fao.org/publications/sofa/,FAO The State of Food and Agriculture (SOFA) — annual,False,v2
248,Global Food Systems,fao_fpi_methods,FAO,,The State of Food Security and Nutrition (SOFI) — annual,2024,FAO,REPORT,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,Flagship,https://annas-archive.org/search?q=FAO+The+State+of+Food+Security+and+Nutrition+%28SOFI%29+%E2%80%94+annual,https://archive.org/search?query=FAO+The+State+of+Food+Security+and+Nutrition+%28SOFI%29+%E2%80%94+annual,https://www.fao.org/publications/sofi/,FAO The State of Food Security and Nutrition (SOFI) — annual,False,v2
249,Global Food Systems,fao_fpi_methods,FAO,,Food Outlook (biannual),2024,FAO,REPORT,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,Short-term market outlook,https://annas-archive.org/search?q=FAO+Food+Outlook+%28biannual%29,https://archive.org/search?query=FAO+Food+Outlook+%28biannual%29,https://www.fao.org/giews/reports/food-outlook/en/,FAO Food Outlook (biannual),False,v2
250,Global Food Systems,food_crises,Sen,Amartya,Poverty and Famines: An Essay on Entitlement and Deprivation,1981,Oxford UP,BOOK,multi,1900_1945,Asia,none,none,none,en,academic,none,none,CRITICAL,NEEDED,Nobelist,https://annas-archive.org/search?q=Sen+Poverty+and+Famines%3A+An+Essay+on+Entitlement+and+Deprivation,https://archive.org/search?query=Sen+Poverty+and+Famines%3A+An+Essay+on+Entitlement+and+Deprivation,,Sen Poverty and Famines: An Essay on Entitlement and Deprivation,False,v2
251,Global Food Systems,food_crises,Davis,Mike,Late Victorian Holocausts: El Niño Famines,2001,Verso,BOOK,multi,pre1900,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Davis+Late+Victorian+Holocausts%3A+El+Ni%C3%B1o+Famines,https://archive.org/search?query=Davis+Late+Victorian+Holocausts%3A+El+Ni%C3%B1o+Famines,,Davis Late Victorian Holocausts: El Niño Famines,False,v2
252,Global Food Systems,food_security,Maxwell,Simon,Food Security: A Post-Modern Perspective,1996,Food Policy,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Maxwell+Food+Security%3A+A+Post-Modern+Perspective,https://archive.org/search?query=Maxwell+Food+Security%3A+A+Post-Modern+Perspective,,Maxwell Food Security: A Post-Modern Perspective,False,v2
253,Global Food Systems,food_security,Barrett,Christopher B.,Measuring Food Insecurity,2010,Science,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Barrett+Measuring+Food+Insecurity,https://archive.org/search?query=Barrett+Measuring+Food+Insecurity,https://doi.org/10.1126/science.1182768,Barrett Measuring Food Insecurity,False,v2
254,Global Food Systems,food_security,Clapp,Jennifer,Food,2020,Polity,BOOK,multi,spanning,Global,none,none,none,en,academic,none,none,CRITICAL,NEEDED,3rd ed,https://annas-archive.org/search?q=Clapp+Food,https://archive.org/search?query=Clapp+Food,,Clapp Food,False,v2
255,Global Food Systems,food_security,Patel,Raj,Stuffed and Starved: The Hidden Battle for the World Food System,2007,Melville House,BOOK,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Patel+Stuffed+and+Starved%3A+The+Hidden+Battle+for+the+World+Food+System,https://archive.org/search?query=Patel+Stuffed+and+Starved%3A+The+Hidden+Battle+for+the+World+Food+System,,Patel Stuffed and Starved: The Hidden Battle for the World Food System,False,v2
256,Global Food Systems,food_security,Lappé,Frances Moore,Diet for a Small Planet,1971,Ballantine,BOOK,multi,1945_1980,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Lapp%C3%A9+Diet+for+a+Small+Planet,https://archive.org/search?query=Lapp%C3%A9+Diet+for+a+Small+Planet,,Lappé Diet for a Small Planet,False,v2
257,Global Food Systems,super_cycles,Radetzki,Marian,The Anatomy of Three Commodity Booms,2006,Resources Policy,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Radetzki+The+Anatomy+of+Three+Commodity+Booms,https://archive.org/search?query=Radetzki+The+Anatomy+of+Three+Commodity+Booms,,Radetzki The Anatomy of Three Commodity Booms,False,v2
258,Global Food Systems,super_cycles,Cashin,Paul,The Long-Run Behavior of Commodity Prices,2002,IMF Staff Papers,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Cashin+The+Long-Run+Behavior+of+Commodity+Prices,https://archive.org/search?query=Cashin+The+Long-Run+Behavior+of+Commodity+Prices,,Cashin The Long-Run Behavior of Commodity Prices,False,v2
259,Global Food Systems,super_cycles,Jacks,David S.,From Boom to Bust: A Typology of Real Commodity Prices,2019,Cliometrica,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Jacks+From+Boom+to+Bust%3A+A+Typology+of+Real+Commodity+Prices,https://archive.org/search?query=Jacks+From+Boom+to+Bust%3A+A+Typology+of+Real+Commodity+Prices,,Jacks From Boom to Bust: A Typology of Real Commodity Prices,False,v2
260,Global Food Systems,green_revolution,Shiva,Vandana,The Violence of the Green Revolution,1991,Zed,BOOK,multi,1945_1980,Asia,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Critique,https://annas-archive.org/search?q=Shiva+The+Violence+of+the+Green+Revolution,https://archive.org/search?query=Shiva+The+Violence+of+the+Green+Revolution,,Shiva The Violence of the Green Revolution,False,v2
261,Global Food Systems,green_revolution,Borlaug,Norman,"Nobel Lecture: The Green Revolution, Peace, and Humanity",1970,Nobel Foundation,CHAPTER,multi,1945_1980,Global,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Borlaug+Nobel+Lecture%3A+The+Green+Revolution%2C+Peace%2C+and+Humanity,https://archive.org/search?query=Borlaug+Nobel+Lecture%3A+The+Green+Revolution%2C+Peace%2C+and+Humanity,https://www.nobelprize.org/prizes/peace/1970/borlaug/lecture/,"Borlaug Nobel Lecture: The Green Revolution, Peace, and Humanity",False,v2
262,Global Food Systems,fao_fpi_methods,Minot,Nicholas,Transmission of World Food Price Changes to Markets in Sub-Saharan Africa,2011,IFPRI DP 1059,WORKING_PAPER,multi,2010_2020,Africa,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Minot+Transmission+of+World+Food+Price+Changes+to+Markets+in+Sub-Saharan+Africa,https://archive.org/search?query=Minot+Transmission+of+World+Food+Price+Changes+to+Markets+in+Sub-Saharan+Africa,,Minot Transmission of World Food Price Changes to Markets in Sub-Saharan Africa,False,v2
263,Global Food Systems,fao_fpi_methods,Baffes,John,World Bank Commodity Price Data (Pink Sheet) — Methodology,2024,World Bank,DATASET_DOC,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Baffes+World+Bank+Commodity+Price+Data+%28Pink+Sheet%29+%E2%80%94+Methodology,https://archive.org/search?query=Baffes+World+Bank+Commodity+Price+Data+%28Pink+Sheet%29+%E2%80%94+Methodology,https://www.worldbank.org/en/research/commodity-markets,Baffes World Bank Commodity Price Data (Pink Sheet) — Methodology,False,v2
264,Global Food Systems,food_crises,Pinstrup-Andersen,Per,Food Policy for Developing Countries,2011,Cornell UP,BOOK,multi,spanning,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Pinstrup-Andersen+Food+Policy+for+Developing+Countries,https://archive.org/search?query=Pinstrup-Andersen+Food+Policy+for+Developing+Countries,,Pinstrup-Andersen Food Policy for Developing Countries,False,v2
265,Global Food Systems,food_security,von Braun,Joachim,"High Food Prices: The What, Who, and How of Proposed Policy Actions",2008,IFPRI,REPORT,multi,2010_2020,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=von+Braun+High+Food+Prices%3A+The+What%2C+Who%2C+and+How+of+Proposed+Policy+Actions,https://archive.org/search?query=von+Braun+High+Food+Prices%3A+The+What%2C+Who%2C+and+How+of+Proposed+Policy+Actions,,"von Braun High Food Prices: The What, Who, and How of Proposed Policy Actions",False,v2
266,Global Food Systems,food_security,Timmer,C. Peter,Food Security in Asia and the Pacific: The Rapidly Changing Role of Rice,2014,Asia Pacific Policy Studies,ARTICLE,cereals,2010_2020,Asia,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Timmer+Food+Security+in+Asia+and+the+Pacific%3A+The+Rapidly+Changing+Role+of+Rice,https://archive.org/search?query=Timmer+Food+Security+in+Asia+and+the+Pacific%3A+The+Rapidly+Changing+Role+of+Rice,,Timmer Food Security in Asia and the Pacific: The Rapidly Changing Role of Rice,False,v2
267,Global Food Systems,super_cycles,Reinhart,Carmen M.,Commodity Super-Cycles: What Are They and What Lies Ahead?,2016,IMF,WORKING_PAPER,multi,2010_2020,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Reinhart+Commodity+Super-Cycles%3A+What+Are+They+and+What+Lies+Ahead%3F,https://archive.org/search?query=Reinhart+Commodity+Super-Cycles%3A+What+Are+They+and+What+Lies+Ahead%3F,,Reinhart Commodity Super-Cycles: What Are They and What Lies Ahead?,False,v2
268,Global Food Systems,super_cycles,Gruss,Bertrand,Commodity Terms of Trade: A New Database,2019,IMF WP 19/21,WORKING_PAPER,multi,2010_2020,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Gruss+Commodity+Terms+of+Trade%3A+A+New+Database,https://archive.org/search?query=Gruss+Commodity+Terms+of+Trade%3A+A+New+Database,https://www.imf.org/en/Publications/WP/Issues/2019/01/24,Gruss Commodity Terms of Trade: A New Database,False,v2
269,Global Food Systems,green_revolution,Herdt,Robert W.,A Retrospective View of Technology's Contribution to Agricultural Development,2012,Annual Review of Resource Econ,ARTICLE,multi,spanning,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Herdt+A+Retrospective+View+of+Technology%27s+Contribution+to+Agricultural+Development,https://archive.org/search?query=Herdt+A+Retrospective+View+of+Technology%27s+Contribution+to+Agricultural+Development,,Herdt A Retrospective View of Technology's Contribution to Agricultural Development,False,v2
270,Global Food Systems,fao_fpi_methods,Abbott,Philip C.,Tracking the Drivers of Global Food Prices,2017,Applied Econ Perspectives & Policy,ARTICLE,multi,2010_2020,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Abbott+Tracking+the+Drivers+of+Global+Food+Prices,https://archive.org/search?query=Abbott+Tracking+the+Drivers+of+Global+Food+Prices,,Abbott Tracking the Drivers of Global Food Prices,False,v2
271,Global Food Systems,food_crises,Ó Gráda,Cormac,Famine: A Short History,2009,Princeton UP,BOOK,multi,pre1900,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=%C3%93+Gr%C3%A1da+Famine%3A+A+Short+History,https://archive.org/search?query=%C3%93+Gr%C3%A1da+Famine%3A+A+Short+History,,Ó Gráda Famine: A Short History,False,v2
272,Global Food Systems,food_security,Godfray,H. Charles J.,Food Security: The Challenge of Feeding 9 Billion People,2010,Science,ARTICLE,multi,2010_2020,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Godfray+Food+Security%3A+The+Challenge+of+Feeding+9+Billion+People,https://archive.org/search?query=Godfray+Food+Security%3A+The+Challenge+of+Feeding+9+Billion+People,https://doi.org/10.1126/science.1185383,Godfray Food Security: The Challenge of Feeding 9 Billion People,False,v2
