Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
184,Dairy,us_dairy_policy,USDA,,Federal Milk Marketing Orders Statistics,2024,USDA AMS,DATASET_DOC,dairy,spanning,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Federal+Milk+Marketing+Orders+Statistics,https://archive.org/search?query=USDA+Federal+Milk+Marketing+Orders+Statistics,https://www.ams.usda.gov/resources/marketing-order-statistics,USDA Federal Milk Marketing Orders Statistics
185,Dairy,global_dairy,IFCN,,IFCN Dairy Report 2024,2024,International Farm Comparison Network,REPORT,dairy,spanning,Global,MEDIUM,NEEDED,Global dairy benchmark,https://annas-archive.org/search?q=IFCN+IFCN+Dairy+Report+2024,https://archive.org/search?query=IFCN+IFCN+Dairy+Report+2024,https://ifcndairy.org/,IFCN IFCN Dairy Report 2024
186,Oils Fats,palm_oil,Byerlee,Derek,The Tropical Oil Crop Revolution,2017,Oxford UP,BOOK,oils,spanning,Asia,FLAGSHIP,NEEDED,"With Falcon, Naylor",https://annas-archive.org/search?q=Byerlee+The+Tropical+Oil+Crop+Revolution,https://archive.org/search?query=Byerlee+The+Tropical+Oil+Crop+Revolution,,Byerlee The Tropical Oil Crop Revolution
187,Oils Fats,palm_oil,Corley,R. H. V.,The Oil Palm,2016,Wiley,BOOK,oils,spanning,Global,HIGH,NEEDED,With Tinker; 5th ed,https://annas-archive.org/search?q=Corley+The+Oil+Palm,https://archive.org/search?query=Corley+The+Oil+Palm,,Corley The Oil Palm
188,Oils Fats,palm_oil,Rival,Alain,Palms of Controversies: Oil Palm and Development Challenges,2013,CIRAD,BOOK,oils,spanning,Asia,MEDIUM,NEEDED,With Levang,https://annas-archive.org/search?q=Rival+Palms+of+Controversies%3A+Oil+Palm+and+Development+Challenges,https://archive.org/search?query=Rival+Palms+of+Controversies%3A+Oil+Palm+and+Development+Challenges,,Rival Palms of Controversies: Oil Palm and Development Challenges
189,Oils Fats,soy_oil,Goldsmith,Peter D.,"Economics of Soybean Production, Marketing, and Utilization",2008,"in Soybeans: Chemistry, Production, Processing, and Utilization",CHAPTER,oils,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Goldsmith+Economics+of+Soybean+Production%2C+Marketing%2C+and+Utilization,https://archive.org/search?query=Goldsmith+Economics+of+Soybean+Production%2C+Marketing%2C+and+Utilization,,"Goldsmith Economics of Soybean Production, Marketing, and Utilization"
190,Oils Fats,soy_oil,Gallagher,Paul W.,A Reassessment of the Contribution of U.S. Corn Ethanol and Soybean Biodiesel,2019,Biofuels Bioproducts Biorefining,ARTICLE,oils,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Gallagher+A+Reassessment+of+the+Contribution+of+U.S.+Corn+Ethanol+and+Soybean+Biodiesel,https://archive.org/search?query=Gallagher+A+Reassessment+of+the+Contribution+of+U.S.+Corn+Ethanol+and+Soybean+Biodiesel,,Gallagher A Reassessment of the Contribution of U.S. Corn Ethanol and Soybean Biodiesel
191,Oils Fats,canola_sunflower,FAOSTAT,,Oilcrops Production and Trade Database Documentation,2024,FAO,DATASET_DOC,oils,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=FAOSTAT+Oilcrops+Production+and+Trade+Database+Documentation,https://archive.org/search?query=FAOSTAT+Oilcrops+Production+and+Trade+Database+Documentation,https://www.fao.org/faostat/,FAOSTAT Oilcrops Production and Trade Database Documentation
192,Oils Fats,olive_oil,Mili,Samir,The Olive Oil Sector: A Comparative Analysis of Spain and Italy,2006,New Medit,ARTICLE,oils,1980_2010,Europe,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Mili+The+Olive+Oil+Sector%3A+A+Comparative+Analysis+of+Spain+and+Italy,https://archive.org/search?query=Mili+The+Olive+Oil+Sector%3A+A+Comparative+Analysis+of+Spain+and+Italy,,Mili The Olive Oil Sector: A Comparative Analysis of Spain and Italy
193,Oils Fats,olive_oil,International Olive Council,,World Olive Oil Figures,2024,IOC,DATASET_DOC,oils,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=International+Olive+Council+World+Olive+Oil+Figures,https://archive.org/search?query=International+Olive+Council+World+Olive+Oil+Figures,https://www.internationaloliveoil.org/,International Olive Council World Olive Oil Figures
194,Oils Fats,tropical_cycles,Baffes,John,Oil Spills on Other Commodities,2007,World Bank WP 4333,WORKING_PAPER,multi,1980_2010,Global,HIGH,NEEDED,Energy-food linkage,https://annas-archive.org/search?q=Baffes+Oil+Spills+on+Other+Commodities,https://archive.org/search?query=Baffes+Oil+Spills+on+Other+Commodities,,Baffes Oil Spills on Other Commodities
195,Oils Fats,palm_oil,Sayer,Jeffrey,Sustainable Production of Palm Oil for the 21st Century,2012,Environmental Research Letters,ARTICLE,oils,2010_2020,Asia,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Sayer+Sustainable+Production+of+Palm+Oil+for+the+21st+Century,https://archive.org/search?query=Sayer+Sustainable+Production+of+Palm+Oil+for+the+21st+Century,,Sayer Sustainable Production of Palm Oil for the 21st Century
196,Oils Fats,soy_oil,Masuda,Tadayoshi,"An Analysis of Rising Food Prices: Global Demand, Supply, and Production of Oilseeds",2009,Japanese J Rural Econ,ARTICLE,oils,2010_2020,US_Global,LOW,NEEDED,,https://annas-archive.org/search?q=Masuda+An+Analysis+of+Rising+Food+Prices%3A+Global+Demand%2C+Supply%2C+and+Production+of+Oilseeds,https://archive.org/search?query=Masuda+An+Analysis+of+Rising+Food+Prices%3A+Global+Demand%2C+Supply%2C+and+Production+of+Oilseeds,,"Masuda An Analysis of Rising Food Prices: Global Demand, Supply, and Production of Oilseeds"
197,Oils Fats,tropical_cycles,USDA,,Oilseeds: World Markets and Trade (monthly),2024,USDA FAS,REPORT,oils,spanning,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Oilseeds%3A+World+Markets+and+Trade+%28monthly%29,https://archive.org/search?query=USDA+Oilseeds%3A+World+Markets+and+Trade+%28monthly%29,https://www.fas.usda.gov/data/oilseeds-world-markets-and-trade,USDA Oilseeds: World Markets and Trade (monthly)
198,Oils Fats,palm_oil,Pirker,Johannes,What Are the Limits to Oil Palm Expansion?,2016,Global Environmental Change,ARTICLE,oils,2010_2020,Asia,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Pirker+What+Are+the+Limits+to+Oil+Palm+Expansion%3F,https://archive.org/search?query=Pirker+What+Are+the+Limits+to+Oil+Palm+Expansion%3F,,Pirker What Are the Limits to Oil Palm Expansion?
199,Oils Fats,soy_oil,Fabiosa,Jacinto F.,Land-Use Credits to Corn Ethanol: Accounting for Distillers' Grains,2009,CARD Iowa State,WORKING_PAPER,oils,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Fabiosa+Land-Use+Credits+to+Corn+Ethanol%3A+Accounting+for+Distillers%27+Grains,https://archive.org/search?query=Fabiosa+Land-Use+Credits+to+Corn+Ethanol%3A+Accounting+for+Distillers%27+Grains,,Fabiosa Land-Use Credits to Corn Ethanol: Accounting for Distillers' Grains
200,Oils Fats,olive_oil,Carbone,Anna,The Performance of Protected Designations of Origin: An Ideal Benchmark for the Italian Olive Oil Sector,2018,Cambridge University Press,ARTICLE,oils,2010_2020,Europe,LOW,NEEDED,,https://annas-archive.org/search?q=Carbone+The+Performance+of+Protected+Designations+of+Origin%3A+An+Ideal+Benchmark+for+the+Italian+Olive+Oil+Sector,https://archive.org/search?query=Carbone+The+Performance+of+Protected+Designations+of+Origin%3A+An+Ideal+Benchmark+for+the+Italian+Olive+Oil+Sector,,Carbone The Performance of Protected Designations of Origin: An Ideal Benchmark for the Italian Olive Oil Sector
201,Oils Fats,canola_sunflower,Schnepf,Randy,Rising Farm Input Costs and Impacts on Production,2022,CRS,REPORT,oils,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Schnepf+Rising+Farm+Input+Costs+and+Impacts+on+Production,https://archive.org/search?query=Schnepf+Rising+Farm+Input+Costs+and+Impacts+on+Production,,Schnepf Rising Farm Input Costs and Impacts on Production
202,Oils Fats,tropical_cycles,Headey,Derek,The Impact of the Global Food Crisis on the Poor,2011,Food Policy,ARTICLE,oils,2010_2020,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Headey+The+Impact+of+the+Global+Food+Crisis+on+the+Poor,https://archive.org/search?query=Headey+The+Impact+of+the+Global+Food+Crisis+on+the+Poor,,Headey The Impact of the Global Food Crisis on the Poor
203,Oils Fats,palm_oil,Cramb,Rob,"The Oil Palm Complex: Smallholders, Agribusiness and the State in Indonesia and Malaysia",2016,NUS Press,BOOK,oils,2010_2020,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=Cramb+The+Oil+Palm+Complex%3A+Smallholders%2C+Agribusiness+and+the+State+in+Indonesia+and+Malaysia,https://archive.org/search?query=Cramb+The+Oil+Palm+Complex%3A+Smallholders%2C+Agribusiness+and+the+State+in+Indonesia+and+Malaysia,,"Cramb The Oil Palm Complex: Smallholders, Agribusiness and the State in Indonesia and Malaysia"
204,Oils Fats,soy_oil,Brown,Lester R.,Outgrowing the Earth: The Food Security Challenge in an Age of Falling Water Tables,2005,Earth Policy Institute,BOOK,multi,1980_2010,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Brown+Outgrowing+the+Earth%3A+The+Food+Security+Challenge+in+an+Age+of+Falling+Water+Tables,https://archive.org/search?query=Brown+Outgrowing+the+Earth%3A+The+Food+Security+Challenge+in+an+Age+of+Falling+Water+Tables,,Brown Outgrowing the Earth: The Food Security Challenge in an Age of Falling Water Tables
205,Oils Fats,olive_oil,Kashiwagi,Kenichi,Olive Oil Price Volatility in Tunisia and Spain,2020,New Medit,ARTICLE,oils,2010_2020,Europe,LOW,NEEDED,,https://annas-archive.org/search?q=Kashiwagi+Olive+Oil+Price+Volatility+in+Tunisia+and+Spain,https://archive.org/search?query=Kashiwagi+Olive+Oil+Price+Volatility+in+Tunisia+and+Spain,,Kashiwagi Olive Oil Price Volatility in Tunisia and Spain
206,Sugar Sweeteners,cane_beet,Abbott,Philip C.,Economic Development of the World's Sugar Industry,2011,in Encyclopedia of Agricultural Economics,CHAPTER,sugar,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Abbott+Economic+Development+of+the+World%27s+Sugar+Industry,https://archive.org/search?query=Abbott+Economic+Development+of+the+World%27s+Sugar+Industry,,Abbott Economic Development of the World's Sugar Industry
207,Sugar Sweeteners,cane_beet,Galloway,J. H.,The Sugar Cane Industry: An Historical Geography,1989,Cambridge UP,BOOK,sugar,pre1900,Colonial,HIGH,NEEDED,,https://annas-archive.org/search?q=Galloway+The+Sugar+Cane+Industry%3A+An+Historical+Geography,https://archive.org/search?query=Galloway+The+Sugar+Cane+Industry%3A+An+Historical+Geography,,Galloway The Sugar Cane Industry: An Historical Geography
208,Sugar Sweeteners,hfcs,Beghin,John C.,US Sugar Policy: Analysis and Options,2013,Iowa State CARD,WORKING_PAPER,sugar,2010_2020,US,FLAGSHIP,NEEDED,With Elobeid,https://annas-archive.org/search?q=Beghin+US+Sugar+Policy%3A+Analysis+and+Options,https://archive.org/search?query=Beghin+US+Sugar+Policy%3A+Analysis+and+Options,,Beghin US Sugar Policy: Analysis and Options
209,Sugar Sweeteners,hfcs,Haley,Stephen L.,Modeling the U.S. Sweetener Sector,1998,USDA ERS TB-1873,REPORT,sugar,1900_1945,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Haley+Modeling+the+U.S.+Sweetener+Sector,https://archive.org/search?query=Haley+Modeling+the+U.S.+Sweetener+Sector,,Haley Modeling the U.S. Sweetener Sector
210,Sugar Sweeteners,hfcs,Bray,George A.,Consumption of High-Fructose Corn Syrup in Beverages May Play a Role in the Epidemic of Obesity,2004,Am J Clinical Nutrition,ARTICLE,sugar,1980_2010,US,LOW,NEEDED,,https://annas-archive.org/search?q=Bray+Consumption+of+High-Fructose+Corn+Syrup+in+Beverages+May+Play+a+Role+in+the+Epidemic+of+Obesity,https://archive.org/search?query=Bray+Consumption+of+High-Fructose+Corn+Syrup+in+Beverages+May+Play+a+Role+in+the+Epidemic+of+Obesity,,Bray Consumption of High-Fructose Corn Syrup in Beverages May Play a Role in the Epidemic of Obesity
211,Sugar Sweeteners,us_sugar_program,Jurenas,Remy,U.S. Sugar Program Overview,2016,CRS,REPORT,sugar,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Jurenas+U.S.+Sugar+Program+Overview,https://archive.org/search?query=Jurenas+U.S.+Sugar+Program+Overview,,Jurenas U.S. Sugar Program Overview
212,Sugar Sweeteners,us_sugar_program,Haley,Stephen L.,The U.S. Sugar Program and Its Effects,2016,USDA ERS,REPORT,sugar,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Haley+The+U.S.+Sugar+Program+and+Its+Effects,https://archive.org/search?query=Haley+The+U.S.+Sugar+Program+and+Its+Effects,,Haley The U.S. Sugar Program and Its Effects
213,Sugar Sweeteners,global_sugar,Rutherford,Ardian,The World Sugar Market,2010,Blackwell,BOOK,sugar,1980_2010,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Rutherford+The+World+Sugar+Market,https://archive.org/search?query=Rutherford+The+World+Sugar+Market,,Rutherford The World Sugar Market
214,Sugar Sweeteners,global_sugar,Yadav,A. K.,Sugar Markets and Sugar Price Dynamics,2019,Review of Ag Econ,ARTICLE,sugar,2010_2020,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Yadav+Sugar+Markets+and+Sugar+Price+Dynamics,https://archive.org/search?query=Yadav+Sugar+Markets+and+Sugar+Price+Dynamics,,Yadav Sugar Markets and Sugar Price Dynamics
215,Sugar Sweeteners,global_sugar,LMC International,,LMC Sweeteners Analysis,2024,LMC,REPORT,sugar,2010_2020,Global,LOW,NEEDED,Trade-press benchmark,https://annas-archive.org/search?q=LMC+International+LMC+Sweeteners+Analysis,https://archive.org/search?query=LMC+International+LMC+Sweeteners+Analysis,,LMC International LMC Sweeteners Analysis
216,Sugar Sweeteners,cane_beet,Otter,Chris,Diet for a Large Planet,2020,U Chicago Press,BOOK,sugar,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Otter+Diet+for+a+Large+Planet,https://archive.org/search?query=Otter+Diet+for+a+Large+Planet,,Otter Diet for a Large Planet
217,Sugar Sweeteners,us_sugar_program,USDA,,Sugar and Sweeteners Outlook,2024,USDA ERS,REPORT,sugar,2020_present,US,HIGH,NEEDED,Monthly,https://annas-archive.org/search?q=USDA+Sugar+and+Sweeteners+Outlook,https://archive.org/search?query=USDA+Sugar+and+Sweeteners+Outlook,https://www.ers.usda.gov/publications/periodicals/,USDA Sugar and Sweeteners Outlook
218,Sugar Sweeteners,hfcs,Philpott,Tom,Perilous Bounty: The Looming Collapse of American Farming,2020,Bloomsbury,BOOK,multi,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Philpott+Perilous+Bounty%3A+The+Looming+Collapse+of+American+Farming,https://archive.org/search?query=Philpott+Perilous+Bounty%3A+The+Looming+Collapse+of+American+Farming,,Philpott Perilous Bounty: The Looming Collapse of American Farming
219,Sugar Sweeteners,global_sugar,ISO,,World Sugar Statistical Yearbook,2024,International Sugar Organization,DATASET_DOC,sugar,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=ISO+World+Sugar+Statistical+Yearbook,https://archive.org/search?query=ISO+World+Sugar+Statistical+Yearbook,https://www.isosugar.org/,ISO World Sugar Statistical Yearbook
220,Sugar Sweeteners,cane_beet,Aurand,Joseph,A Brief History of the US Sugar Industry,2019,USDA,REPORT,sugar,spanning,US,LOW,NEEDED,,https://annas-archive.org/search?q=Aurand+A+Brief+History+of+the+US+Sugar+Industry,https://archive.org/search?query=Aurand+A+Brief+History+of+the+US+Sugar+Industry,,Aurand A Brief History of the US Sugar Industry
221,Produce,seasonality,Richards,Timothy J.,Retail Competition and the Price of Fruit,2006,J Ag Resource Econ,ARTICLE,produce,1980_2010,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Richards+Retail+Competition+and+the+Price+of+Fruit,https://archive.org/search?query=Richards+Retail+Competition+and+the+Price+of+Fruit,,Richards Retail Competition and the Price of Fruit
222,Produce,seasonality,Lucier,Gary,Vegetables and Pulses Yearbook,2024,USDA ERS,DATASET_DOC,produce,spanning,US,HIGH,NEEDED,Annual,https://annas-archive.org/search?q=Lucier+Vegetables+and+Pulses+Yearbook,https://archive.org/search?query=Lucier+Vegetables+and+Pulses+Yearbook,https://www.ers.usda.gov/data-products/vegetables-and-pulses-data,Lucier Vegetables and Pulses Yearbook
223,Produce,labor_costs,Martin,Philip,Labor Shortages Ahead: Agriculture and H-2A Visa Program,2016,UC Davis,REPORT,produce,2010_2020,US,FLAGSHIP,NEEDED,,https://annas-archive.org/search?q=Martin+Labor+Shortages+Ahead%3A+Agriculture+and+H-2A+Visa+Program,https://archive.org/search?query=Martin+Labor+Shortages+Ahead%3A+Agriculture+and+H-2A+Visa+Program,,Martin Labor Shortages Ahead: Agriculture and H-2A Visa Program
224,Produce,labor_costs,Charlton,Diane,Declining International Migration of Mexican Farm Workers,2016,J Political Economy,ARTICLE,produce,2010_2020,US,HIGH,NEEDED,With Taylor,https://annas-archive.org/search?q=Charlton+Declining+International+Migration+of+Mexican+Farm+Workers,https://archive.org/search?query=Charlton+Declining+International+Migration+of+Mexican+Farm+Workers,,Charlton Declining International Migration of Mexican Farm Workers
225,Produce,cold_chain,Sheffi,Yossi,Logistics Clusters,2012,MIT Press,BOOK,produce,2010_2020,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Sheffi+Logistics+Clusters,https://archive.org/search?query=Sheffi+Logistics+Clusters,,Sheffi Logistics Clusters
226,Produce,cold_chain,Saenz-Segura,Fernando,Cold Chain Management for Produce in Developing Countries,2013,WUR,WORKING_PAPER,produce,2010_2020,Global,LOW,NEEDED,,https://annas-archive.org/search?q=Saenz-Segura+Cold+Chain+Management+for+Produce+in+Developing+Countries,https://archive.org/search?query=Saenz-Segura+Cold+Chain+Management+for+Produce+in+Developing+Countries,,Saenz-Segura Cold Chain Management for Produce in Developing Countries
227,Produce,specialty_crops,USDA,,Fruit and Tree Nuts Yearbook Tables,2024,USDA ERS,DATASET_DOC,produce,spanning,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Fruit+and+Tree+Nuts+Yearbook+Tables,https://archive.org/search?query=USDA+Fruit+and+Tree+Nuts+Yearbook+Tables,https://www.ers.usda.gov/data-products/fruit-and-tree-nuts-data,USDA Fruit and Tree Nuts Yearbook Tables
228,Produce,specialty_crops,Cook,Roberta,Supermarket Challenges and Opportunities for Fresh Fruit and Vegetable Producers,2011,Choices Magazine,ARTICLE,produce,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cook+Supermarket+Challenges+and+Opportunities+for+Fresh+Fruit+and+Vegetable+Producers,https://archive.org/search?query=Cook+Supermarket+Challenges+and+Opportunities+for+Fresh+Fruit+and+Vegetable+Producers,,Cook Supermarket Challenges and Opportunities for Fresh Fruit and Vegetable Producers
229,Produce,water_ag,Cooley,Heather,California Agricultural Water Use: Key Background Information,2015,Pacific Institute,REPORT,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Cooley+California+Agricultural+Water+Use%3A+Key+Background+Information,https://archive.org/search?query=Cooley+California+Agricultural+Water+Use%3A+Key+Background+Information,,Cooley California Agricultural Water Use: Key Background Information
230,Produce,water_ag,Howitt,Richard,Economic Analysis of the 2014 Drought for California Agriculture,2014,UC Davis,REPORT,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Howitt+Economic+Analysis+of+the+2014+Drought+for+California+Agriculture,https://archive.org/search?query=Howitt+Economic+Analysis+of+the+2014+Drought+for+California+Agriculture,,Howitt Economic Analysis of the 2014 Drought for California Agriculture
231,Produce,seasonality,Park,Timothy A.,Choice Behavior for US Fresh Vegetable Consumers,2011,J Ag Applied Econ,ARTICLE,produce,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Park+Choice+Behavior+for+US+Fresh+Vegetable+Consumers,https://archive.org/search?query=Park+Choice+Behavior+for+US+Fresh+Vegetable+Consumers,,Park Choice Behavior for US Fresh Vegetable Consumers
232,Produce,labor_costs,Zahniser,Steven,Farm Labor and Immigration Policy,2018,USDA ERS,REPORT,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Zahniser+Farm+Labor+and+Immigration+Policy,https://archive.org/search?query=Zahniser+Farm+Labor+and+Immigration+Policy,,Zahniser Farm Labor and Immigration Policy
233,Produce,specialty_crops,Cook,Roberta,Trends in the Marketing of Fresh Produce and Fresh-Cut Products,2011,UC Davis,REPORT,produce,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cook+Trends+in+the+Marketing+of+Fresh+Produce+and+Fresh-Cut+Products,https://archive.org/search?query=Cook+Trends+in+the+Marketing+of+Fresh+Produce+and+Fresh-Cut+Products,,Cook Trends in the Marketing of Fresh Produce and Fresh-Cut Products
234,Produce,cold_chain,Mercier,Stephanie,Grocery Retailing and Wholesaling,2019,Farm Foundation,REPORT,produce,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Mercier+Grocery+Retailing+and+Wholesaling,https://archive.org/search?query=Mercier+Grocery+Retailing+and+Wholesaling,,Mercier Grocery Retailing and Wholesaling
235,Produce,water_ag,Lund,Jay,Water Markets in California,2014,UC Davis,REPORT,produce,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Lund+Water+Markets+in+California,https://archive.org/search?query=Lund+Water+Markets+in+California,,Lund Water Markets in California
236,Produce,seasonality,Gopinath,Munisamy,Price Transmission in Fresh Fruit and Vegetable Markets,2012,J Ag Applied Econ,ARTICLE,produce,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Gopinath+Price+Transmission+in+Fresh+Fruit+and+Vegetable+Markets,https://archive.org/search?query=Gopinath+Price+Transmission+in+Fresh+Fruit+and+Vegetable+Markets,,Gopinath Price Transmission in Fresh Fruit and Vegetable Markets
237,Produce,specialty_crops,Calvin,Linda,Fresh Fruit and Vegetable Imports and the U.S. Market,2009,USDA ERS,REPORT,produce,1980_2010,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Calvin+Fresh+Fruit+and+Vegetable+Imports+and+the+U.S.+Market,https://archive.org/search?query=Calvin+Fresh+Fruit+and+Vegetable+Imports+and+the+U.S.+Market,,Calvin Fresh Fruit and Vegetable Imports and the U.S. Market
238,Produce,labor_costs,Fan,Maoyong,The Role of H-2A in US Agriculture,2015,AJAE,ARTICLE,produce,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Fan+The+Role+of+H-2A+in+US+Agriculture,https://archive.org/search?query=Fan+The+Role+of+H-2A+in+US+Agriculture,,Fan The Role of H-2A in US Agriculture
239,Produce,water_ag,Schwabe,Kurt,The Role of Water in the California Economy,2015,UC ANR,REPORT,produce,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Schwabe+The+Role+of+Water+in+the+California+Economy,https://archive.org/search?query=Schwabe+The+Role+of+Water+in+the+California+Economy,,Schwabe The Role of Water in the California Economy
240,Produce,seasonality,Pollack,Susan,ERS Fruit and Vegetable Prices Data Product,2024,USDA ERS,DATASET_DOC,produce,spanning,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Pollack+ERS+Fruit+and+Vegetable+Prices+Data+Product,https://archive.org/search?query=Pollack+ERS+Fruit+and+Vegetable+Prices+Data+Product,https://www.ers.usda.gov/data-products/fruit-and-vegetable-prices/,Pollack ERS Fruit and Vegetable Prices Data Product
241,Global Food Systems,green_revolution,Evenson,Robert E.,"Assessing the Impact of the Green Revolution, 1960 to 2000",2003,Science,ARTICLE,multi,1945_1980,Global,FLAGSHIP,NEEDED,With Gollin,https://annas-archive.org/search?q=Evenson+Assessing+the+Impact+of+the+Green+Revolution%2C+1960+to+2000,https://archive.org/search?query=Evenson+Assessing+the+Impact+of+the+Green+Revolution%2C+1960+to+2000,https://doi.org/10.1126/science.1078710,"Evenson Assessing the Impact of the Green Revolution, 1960 to 2000"
242,Global Food Systems,green_revolution,Hazell,Peter B. R.,The Asian Green Revolution,2009,IFPRI DP 911,WORKING_PAPER,multi,1945_1980,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=Hazell+The+Asian+Green+Revolution,https://archive.org/search?query=Hazell+The+Asian+Green+Revolution,,Hazell The Asian Green Revolution
243,Global Food Systems,green_revolution,Pingali,Prabhu L.,"Green Revolution: Impacts, Limits, and the Path Ahead",2012,PNAS,ARTICLE,multi,spanning,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Pingali+Green+Revolution%3A+Impacts%2C+Limits%2C+and+the+Path+Ahead,https://archive.org/search?query=Pingali+Green+Revolution%3A+Impacts%2C+Limits%2C+and+the+Path+Ahead,https://doi.org/10.1073/pnas.0912953109,"Pingali Green Revolution: Impacts, Limits, and the Path Ahead"
244,Global Food Systems,green_revolution,Perkins,John H.,Geopolitics and the Green Revolution,1997,Oxford UP,BOOK,multi,1945_1980,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Perkins+Geopolitics+and+the+Green+Revolution,https://archive.org/search?query=Perkins+Geopolitics+and+the+Green+Revolution,,Perkins Geopolitics and the Green Revolution
245,Global Food Systems,green_revolution,Cullather,Nick,The Hungry World: America's Cold War Battle Against Poverty in Asia,2010,Harvard UP,BOOK,multi,1945_1980,Asia,HIGH,NEEDED,Green Revolution as Cold War project,https://annas-archive.org/search?q=Cullather+The+Hungry+World%3A+America%27s+Cold+War+Battle+Against+Poverty+in+Asia,https://archive.org/search?query=Cullather+The+Hungry+World%3A+America%27s+Cold+War+Battle+Against+Poverty+in+Asia,,Cullather The Hungry World: America's Cold War Battle Against Poverty in Asia
246,Global Food Systems,fao_fpi_methods,FAO,,The FAO Food Price Index (FFPI) Methodology Paper,2013,FAO,DATASET_DOC,multi,spanning,Global,CRITICAL,NEEDED,,https://annas-archive.org/search?q=FAO+The+FAO+Food+Price+Index+%28FFPI%29+Methodology+Paper,https://archive.org/search?query=FAO+The+FAO+Food+Price+Index+%28FFPI%29+Methodology+Paper,https://www.fao.org/worldfoodsituation/foodpricesindex/en/,FAO The FAO Food Price Index (FFPI) Methodology Paper
247,Global Food Systems,fao_fpi_methods,FAO,,The State of Food and Agriculture (SOFA) — annual,2024,FAO,REPORT,multi,spanning,Global,HIGH,NEEDED,Flagship,https://annas-archive.org/search?q=FAO+The+State+of+Food+and+Agriculture+%28SOFA%29+%E2%80%94+annual,https://archive.org/search?query=FAO+The+State+of+Food+and+Agriculture+%28SOFA%29+%E2%80%94+annual,https://www.fao.org/publications/sofa/,FAO The State of Food and Agriculture (SOFA) — annual
248,Global Food Systems,fao_fpi_methods,FAO,,The State of Food Security and Nutrition (SOFI) — annual,2024,FAO,REPORT,multi,spanning,Global,HIGH,NEEDED,Flagship,https://annas-archive.org/search?q=FAO+The+State+of+Food+Security+and+Nutrition+%28SOFI%29+%E2%80%94+annual,https://archive.org/search?query=FAO+The+State+of+Food+Security+and+Nutrition+%28SOFI%29+%E2%80%94+annual,https://www.fao.org/publications/sofi/,FAO The State of Food Security and Nutrition (SOFI) — annual
